ID,Tournament,MatchDate,Week,Day,Date,Division,Home,Away,Field,Time
1,WMCB Championship ,2015-04-25,Week 1,Saturday,25-Apr,WMCB Northern Division,Gladiators,A Money Matter,Laurel II,11:00 AM
2,WMCB Championship ,2015-04-25,Week 1,Saturday,25-Apr,WMCB Southern Division,Challengers,Va Lions,Laurel I,11:00 AM
3,WMCB Championship ,2015-04-25,Week 1,Saturday,25-Apr,WMCB Northern Division,Crescent,Punjab Lions,Mark Twain,11:00 AM
4,WMCB Championship ,2015-04-26,Week 1,Sunday,26-Apr,WMCB Southern Division,Southern Cavaliers,Mavericks,Laurel I,11:00 AM
5,WMCB Championship ,2015-04-26,Week 1,Sunday,26-Apr,WMCB Northern Division,Spartans,Damascus,Mark Twain,11:00 AM
6,WMCB Championship ,2015-04-26,Week 1,Sunday,26-Apr,WMCB Southern Division,Columbia,Renegades,Laurel II,11:00 AM
7,WMCB Championship ,2015-05-02,Week 2,Saturday,2-May,WMCB Northern Division,Damascus,A Money Matter,Laurel I,11:00 AM
8,WMCB Championship ,2015-05-02,Week 2,Saturday,2-May,WMCB Southern Division,Renegades,Mavericks,Mark Twain,11:00 AM
9,WMCB Championship ,2015-05-02,Week 2,Saturday,2-May,WMCB Northern Division,Crescent,United,Laurel II,11:00 AM
10,WMCB Championship ,2015-05-03,Week 2,Sunday,3-May,WMCB Northern Division,Spartans,Punjab Lions,Laurel I,11:00 AM
11,WMCB Championship ,2015-05-03,Week 2,Sunday,3-May,WMCB Southern Division,Southern Cavaliers,Washington Hurricanes,Laurel II,11:00 AM
12,WMCB Championship ,2015-05-03,Week 2,Sunday,3-May,WMCB Southern Division,Columbia,Va Lions,Mark Twain,11:00 AM
13,Americian Cricket Champions League,2015-05-09,Week 3,Saturday,9-May,Mid-Atlantic Division,Philadelphia,Washington Eagles,Philadelphia,12:00 PM
14,WMCB Championship ,2015-05-09,Week 3,Saturday,9-May,WMCB Southern Division,Southern Cavaliers,Challengers,Laurel I,11:00 AM
15,WMCB Championship ,2015-05-09,Week 3,Saturday,9-May,WMCB Southern Division,Renegades,Va Lions,Mark Twain,11:00 AM
16,WMCB Championship ,2015-05-10,Week 3,Sunday,10-May,WMCB Southern Division,Washington Hurricanes,Columbia,Laurel I,11:00 AM
17,WMCB Championship ,2015-05-10,Week 3,Sunday,10-May,WMCB Northern Division,Damascus,United,Laurel II,11:00 AM
18,WMCB Championship ,2015-05-10,Week 3,Sunday,10-May,WMCB Northern Division,Gladiators,Crescent,Mark Twain,11:00 AM
19,WMCB Championship ,2015-05-10,Week 3,Sunday,10-May,WMCB Northern Division,A Money Matter,Spartans,Laurel III,11:00 AM
20,WMCB Championship ,2015-05-16,Week 4,Saturday,16-May,WMCB Southern Division,Renegades,Southern Cavaliers,Laurel II,11:00 AM
21,WMCB Championship ,2015-05-16,Week 4,Saturday,16-May,WMCB Northern Division,Spartans,Gladiators,Mark Twain,11:00 AM
22,WMCB Championship ,2015-05-16,Week 4,Saturday,16-May,WMCB Northern Division,Damascus,Crescent,Laurel I,11:00 AM
23,WMCB Championship ,2015-05-16,Week 4,Saturday,16-May,WMCB Northern Division,United,Punjab Lions,Laurel III,11:00 AM
24,WMCB Championship ,2015-05-17,Week 4,Sunday,17-May,WMCB Southern Division,Columbia,Southern Cavaliers,Laurel II,11:00 AM
25,WMCB Championship ,2015-05-17,Week 4,Sunday,17-May,WMCB Southern Division,Mavericks,Washington Hurricanes,Laurel I,11:00 AM
26,WMCB Championship ,2015-05-17,Week 4,Sunday,17-May,WMCB Southern Division,Challengers,Renegades,Laurel III,11:00 AM
27,WMCB Championship ,2015-05-17,Week 4,Sunday,17-May,WMCB Northern Division,United,Spartans,Mark Twain,11:00 AM
28,WMCB Championship ,2015-05-17,Week 4,Sunday,17-May,WMCB Northern Division,A Money Matter,Punjab Lions,Oxon Hill,11:00 AM
29,Americian Cricket Champions League,2015-05-23,Week 5 - Memorial Day,Saturday,23-May,Mid-Atlantic Division,Washington Eagles,New Jersey,Washington,12:00 PM
30,WMCB Friendly,2015-05-23,Week 5 - Memorial Day,Saturday,23-May,Friendly T20 ,Washington Eagles,Liberty of New York,Washington,1:00 PM
31,WMCB Friendly,2015-05-24,Week 5 - Memorial Day,Saturday,24-May,Friendly 40 Over ,Washington Eagles,Liberty of New York,Washington,11:00 AM
32,WMCB Championship ,2015-05-31,Week 6,Saturday,31-May,WMCB Super 8,United,Damascus,Laurel I,11:00 AM
